 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
  84      QP1   0.15   9.79   4.70  -0.25   1.61  2868.02 -2342.43  -3.89   0.53  -0.44  197.62  135.23   0.00  -0.00   0.00   0.00
  85      SD2   0.21   9.94   5.28  -3.76   1.62  2655.97 -508.90  -3.67  -1.99  -0.45  202.88 -65.68   0.00  -0.00   0.00  -0.00
  86      QP2   0.15  10.15   6.98  -4.36   1.62  2549.10 -508.90  -2.89  -1.71  -0.46  189.09 -65.68   0.00  -0.00   0.00  -0.00
  87     SD31   0.75  10.30   6.82   5.38   1.63  2199.72 -4068.39  -2.98   2.35  -0.46  199.16  202.29   0.00  -0.00   0.00   0.00
  88     BEND   0.28  11.06   1.21   2.07   1.67 -866.83 -4068.39  -7.78   4.01  -0.49  351.63  202.29  -0.00  -0.00   0.00   0.00
  89    SD3S2   0.12  11.33   0.15   0.94   1.77 -1625.47 -1134.77 -10.72   6.97  -0.49  418.48  288.85  -0.00  -0.00   0.00   0.00
  90      SX1   0.00  11.46   0.11  -0.68   1.99 -1767.31 -1134.77 -12.54   7.55  -0.50  454.59  288.85  -0.00  -0.00   0.00   0.00
  91     HCOR   0.00  11.46   0.11  -0.67   1.99 -1767.31 -1116.67 -12.54   7.83  -0.50  454.59  298.82  -0.00  -0.00   0.00   0.00
  92     VCOR   0.00  11.46   0.11  -0.67   1.99 -1767.32 -20088.73 -12.54   7.83  -0.50  454.59  298.82  -0.00  -0.02   0.00   0.00
  93     SD3S   0.07  11.46   0.11  -0.67   1.99 -1767.34 -20088.73 -12.54   7.83  -0.50  454.59  298.82  -0.00  -0.02   0.00   0.00
  94     QP31   0.15  11.53   0.29  -1.64   2.05 -3274.00 -20088.73 -13.74   8.20  -0.50  477.00  298.82  -0.00  -0.02   0.00   0.00
  95     SD3S   0.07  11.68   1.28  -5.54   2.10 -6879.55 -29067.12 -12.48 -15.83  -0.50  456.58 -564.90  -0.01  -0.03   0.00  -0.00
  96      SX3   0.00  11.76   2.25  -7.40   2.10 -9059.58 -29067.12 -10.22 -14.32  -0.50  414.22 -564.90  -0.01  -0.03   0.00  -0.00
